iter	Passed	Remaining
0	0	705
1	1	645
2	1	614
3	2	605
4	2	596
5	3	590
6	4	584
7	4	568
8	5	569
9	5	567
10	6	565
11	6	562
12	7	557
13	7	556
14	8	553
15	8	548
16	9	555
17	10	554
18	10	556
19	11	561
20	12	561
21	12	559
22	13	559
23	13	556
24	14	555
25	14	552
26	15	551
27	15	548
28	16	549
29	16	545
30	17	546
31	18	544
32	18	544
33	19	541
34	19	541
35	20	540
36	20	539
37	21	538
38	21	537
39	22	536
40	22	535
41	23	535
42	24	534
43	24	534
44	25	536
45	25	537
46	26	538
47	27	537
48	27	537
49	28	537
50	28	537
51	29	535
52	29	534
53	30	534
54	31	533
55	31	532
56	32	531
57	32	531
58	33	530
59	33	528
60	34	527
61	34	526
62	35	526
63	35	525
64	36	524
65	36	523
66	37	523
67	38	522
68	38	522
69	39	522
70	39	522
71	40	521
72	41	522
73	41	523
74	42	522
75	42	522
76	43	520
77	43	519
78	44	517
79	44	516
80	45	515
81	45	514
82	46	510
83	46	509
84	47	508
85	47	507
86	48	506
87	48	505
88	49	504
89	49	503
90	50	502
91	50	501
92	51	501
93	51	499
94	52	499
95	52	498
96	53	496
97	53	496
98	54	495
99	55	495
100	55	494
101	56	494
102	56	493
103	57	492
104	57	492
105	58	491
106	58	491
107	59	490
108	59	489
109	60	489
110	60	488
111	61	487
112	62	487
113	62	486
114	63	485
115	63	484
116	63	482
117	64	482
118	65	481
119	65	481
120	66	480
121	66	478
122	67	478
123	67	478
124	68	478
125	68	478
126	69	477
127	70	477
128	70	478
129	71	479
130	72	480
131	73	480
132	73	481
133	74	482
134	75	482
135	75	481
136	76	480
137	76	479
138	77	478
139	77	477
140	78	477
141	78	475
142	79	474
143	79	473
144	80	472
145	80	471
146	81	470
147	81	469
148	82	468
149	82	467
150	82	466
151	83	465
152	83	464
153	84	463
154	85	463
155	85	463
156	86	463
157	86	463
158	87	463
159	88	462
160	88	461
161	89	460
162	89	459
163	90	458
164	90	457
165	90	457
166	91	456
167	91	455
168	92	454
169	92	453
170	93	452
171	93	452
172	94	451
173	94	450
174	95	449
175	95	448
176	96	448
177	96	447
178	97	446
179	97	445
180	98	444
181	98	444
182	99	443
183	99	442
184	100	442
185	101	442
186	101	442
187	102	442
188	103	442
189	103	441
190	104	440
191	104	440
192	105	439
193	105	438
194	106	437
195	106	437
196	107	436
197	107	435
198	108	434
199	108	434
200	109	433
201	109	432
202	110	431
203	110	431
204	110	430
205	111	429
206	111	429
207	112	428
208	112	427
209	113	426
210	113	426
211	114	425
212	115	425
213	115	425
214	116	424
215	116	424
216	117	423
217	118	423
218	118	422
219	119	422
220	119	421
221	120	420
222	120	419
223	121	419
224	121	418
225	122	417
226	122	417
227	122	416
228	123	415
229	123	414
230	124	414
231	124	413
232	125	412
233	125	412
234	126	411
235	126	410
236	127	410
237	127	409
238	128	408
239	128	407
240	129	407
241	130	407
242	130	407
243	131	407
244	132	406
245	132	406
246	133	406
247	133	406
248	134	405
249	134	404
250	135	404
251	135	403
252	136	402
253	136	401
254	137	401
255	137	400
256	138	400
257	139	399
258	139	399
259	140	398
